ID,Link,Date,Sport,Country,League
td1n3hcl,https://www.betexplorer.com/soccer/brazil/serie-a/goias-flamengo-rj/td1n3hcl/,"2022,9,13,0,00",soccer,brazil,serie-a
fLfqguda,https://www.betexplorer.com/soccer/brazil/serie-c/mirassol-volta-redonda/fLfqguda/,"2022,9,13,0,00",soccer,brazil,serie-c
hY795BSg,https://www.betexplorer.com/soccer/brazil/copa-paulista/noroeste-marilia/hY795BSg/,"2022,9,13,0,00",soccer,brazil,copa-paulista
67zpucph,https://www.betexplorer.com/soccer/honduras/liga-nacional/motagua-victoria/67zpucph/,"2022,9,13,0,00",soccer,honduras,liga-nacional
fT6RMFUN,https://www.betexplorer.com/soccer/honduras/liga-nacional/real-espana-honduras-progreso/fT6RMFUN/,"2022,9,13,0,00",soccer,honduras,liga-nacional
Eehmei68,https://www.betexplorer.com/soccer/mexico/liga-mx-women/atletico-san-luis-u-a-n-l-tigres/Eehmei68/,"2022,9,13,0,00",soccer,mexico,liga-mx-women
O42prZZq,https://www.betexplorer.com/soccer/usa/nwsl-women/gotham-fc-kansas-city-current/O42prZZq/,"2022,9,13,0,00",soccer,usa,nwsl-women
lzEQdsOD,https://www.betexplorer.com/soccer/argentina/primera-nacional/atl-rafaela-san-telmo/lzEQdsOD/,"2022,9,13,0,30",soccer,argentina,primera-nacional
OSWkvEjk,https://www.betexplorer.com/soccer/argentina/primera-nacional/deportivo-maipu-alvarado/OSWkvEjk/,"2022,9,13,0,30",soccer,argentina,primera-nacional
4bx2d23h,https://www.betexplorer.com/soccer/paraguay/primera-division/olimpia-asuncion-sol-de-america/4bx2d23h/,"2022,9,13,0,30",soccer,paraguay,primera-division
x2DvXqGI,https://www.betexplorer.com/soccer/argentina/liga-profesional/talleres-cordoba-defensa-y-justicia/x2DvXqGI/,"2022,9,13,1,00",soccer,argentina,liga-profesional
rJjc8PeN,https://www.betexplorer.com/soccer/argentina/torneo-federal/atletico-parana-sportivo-las-parejas/rJjc8PeN/,"2022,9,13,1,00",soccer,argentina,torneo-federal
h0hHBGwC,https://www.betexplorer.com/soccer/guatemala/liga-nacional/xinabajul-malacateco/h0hHBGwC/,"2022,9,13,1,00",soccer,guatemala,liga-nacional
6B8QT3PA,https://www.betexplorer.com/soccer/peru/liga-1/fbc-melgar-dep-municipal/6B8QT3PA/,"2022,9,13,1,00",soccer,peru,liga-1
6VQouF3e,https://www.betexplorer.com/soccer/usa/mls-next-pro/inter-miami-columbus-crew/6VQouF3e/,"2022,9,13,1,00",soccer,usa,mls-next-pro
lYhtWoa2,https://www.betexplorer.com/soccer/usa/nisa/syracuse-pulse-maryland-bobcats/lYhtWoa2/,"2022,9,13,1,00",soccer,usa,nisa
ttcksgkj,https://www.betexplorer.com/soccer/usa/nwsl-women/houston-dash-angel-city/ttcksgkj/,"2022,9,13,1,00",soccer,usa,nwsl-women
zJt36UiE,https://www.betexplorer.com/soccer/mexico/liga-mx/atlas-atletico-san-luis/zJt36UiE/,"2022,9,13,1,05",soccer,mexico,liga-mx
zV8BMjFP,https://www.betexplorer.com/soccer/colombia/primera-a/la-equidad-envigado/zV8BMjFP/,"2022,9,13,1,10",soccer,colombia,primera-a
tzdNYINj,https://www.betexplorer.com/soccer/panama/lpf/sporting-san-miguelito-san-francisco/tzdNYINj/,"2022,9,13,1,15",soccer,panama,lpf
QXEDkV7f,https://www.betexplorer.com/soccer/argentina/torneo-federal/ca-liniers-sansinena/QXEDkV7f/,"2022,9,13,1,30",soccer,argentina,torneo-federal
