ID,Link,Date,Sport,Country,League
KtLrkwg1,https://www.betexplorer.com/soccer/argentina/liga-profesional/godoy-cruz-boca-juniors/KtLrkwg1/,"2022,9,25,0,00",soccer,argentina,liga-profesional
25QwjJwe,https://www.betexplorer.com/soccer/argentina/liga-profesional/huracan-banfield/25QwjJwe/,"2022,9,25,0,00",soccer,argentina,liga-profesional
tQCpXXwl,https://www.betexplorer.com/soccer/brazil/serie-b/nautico-sampaio-correa/tQCpXXwl/,"2022,9,25,0,00",soccer,brazil,serie-b
vTv4hCfM,https://www.betexplorer.com/soccer/mexico/liga-de-expansion-mx/tepatitlan-de-morelos-tapatio/vTv4hCfM/,"2022,9,25,0,00",soccer,mexico,liga-de-expansion-mx
bNnuE5Cm,https://www.betexplorer.com/soccer/mexico/liga-mx-women/u-n-a-m-pumas-guadalajara-chivas/bNnuE5Cm/,"2022,9,25,0,00",soccer,mexico,liga-mx-women
IRNnFVOG,https://www.betexplorer.com/soccer/uruguay/primera-division/maldonado-boston-river/IRNnFVOG/,"2022,9,25,0,00",soccer,uruguay,primera-division
nZqgrTNq,https://www.betexplorer.com/soccer/chile/chilean-cup/antofagasta-u-espanola/nZqgrTNq/,"2022,9,25,1,00",soccer,chile,chilean-cup
lUGk43tN,https://www.betexplorer.com/soccer/usa/usl-championship/charleston-rio-grande-valley-fc-toros/lUGk43tN/,"2022,9,25,1,00",soccer,usa,usl-championship
tY4MBOva,https://www.betexplorer.com/soccer/canada/canadian-premier-league/york-united-valour/tY4MBOva/,"2022,9,25,1,30",soccer,canada,canadian-premier-league
6PP80kPe,https://www.betexplorer.com/soccer/paraguay/primera-division/general-caballero-jlm-guarani/6PP80kPe/,"2022,9,25,1,30",soccer,paraguay,primera-division
SKFg3NeT,https://www.betexplorer.com/soccer/usa/usl-championship/tampa-bay-birmingham-legion/SKFg3NeT/,"2022,9,25,1,30",soccer,usa,usl-championship
E9w47Xjs,https://www.betexplorer.com/soccer/brazil/brasileiro-u23/cuiaba-bragantino/E9w47Xjs/,"2022,9,25,2,00",soccer,brazil,brasileiro-u23
lr8u2zIP,https://www.betexplorer.com/soccer/mexico/liga-mx/necaxa-mazatlan-fc/lr8u2zIP/,"2022,9,25,2,00",soccer,mexico,liga-mx
hpnqDPRg,https://www.betexplorer.com/soccer/mexico/liga-mx-women/u-a-n-l-tigres-juarez/hpnqDPRg/,"2022,9,25,2,00",soccer,mexico,liga-mx-women
OdQ3L4Bc,https://www.betexplorer.com/soccer/usa/usl-championship/louisville-city-memphis-901/OdQ3L4Bc/,"2022,9,25,2,00",soccer,usa,usl-championship
4pwNzQhF,https://www.betexplorer.com/soccer/world/friendly-international/argentina-honduras/4pwNzQhF/,"2022,9,25,2,00",soccer,world,friendly-international
6kB0iW9S,https://www.betexplorer.com/soccer/mexico/liga-de-expansion-mx/correcaminos-raya2/6kB0iW9S/,"2022,9,25,2,05",soccer,mexico,liga-de-expansion-mx
Gr5cUVN6,https://www.betexplorer.com/soccer/brazil/serie-b/londrina-ponte-preta/Gr5cUVN6/,"2022,9,25,2,30",soccer,brazil,serie-b
tEhk9PPc,https://www.betexplorer.com/soccer/colombia/primera-b/chico-fortaleza-c-e-i-f/tEhk9PPc/,"2022,9,25,3,00",soccer,colombia,primera-b
6XqEvyNJ,https://www.betexplorer.com/soccer/panama/lpf/san-francisco-potros-del-este/6XqEvyNJ/,"2022,9,25,3,00",soccer,panama,lpf
Wldc9x72,https://www.betexplorer.com/soccer/mexico/liga-mx/puebla-u-n-a-m-pumas/Wldc9x72/,"2022,9,25,4,05",soccer,mexico,liga-mx
Y3DJde1b,https://www.betexplorer.com/soccer/japan/nadeshiko-league-women/nittaidai-angeviolet-hiroshima/Y3DJde1b/,"2022,9,25,5,00",soccer,japan,nadeshiko-league-women
