ID,Result,Partial results
xz5X16ss,"[0, 0]","[[0, 0], [0, 0]]"
n5tFqPRC,,
Eu0dd2BI,"[2, 1]","[[0, 1], [2, 0]]"
SKsqK53P,"[1, 0]","[[1, 0], [0, 0]]"
jwm6ooc0,"[2, 1]","[[2, 1], [0, 0]]"
67OXQDG9,"[5, 0]","[[0, 0], [5, 0]]"
lWi7AhWS,"[4, 0]","[[2, 0], [2, 0]]"
WUJehgAp,"[3, 0]","[[1, 0], [2, 0]]"
b3YEEqRn,"[0, 1]","[[0, 1], [0, 0]]"
SG3bCE1G,"[2, 0]","[[1, 0], [1, 0]]"
ddwGwi0F,"[3, 0]","[[2, 0], [1, 0]]"
0Uq7uDV2,"[3, 1]","[[2, 1], [1, 0]]"
2ZHtPioM,"[0, 0]","[[0, 0], [0, 0]]"
Kj0jEzX3,,"[[0, 1], [0, 0], [1, 3]]"
4I8Ng9kK,"[0, 2]","[[0, 0], [0, 2]]"
p08u0pCg,"[1, 0]","[[0, 0], [1, 0]]"
tS1lbOt6,"[1, 1]","[[1, 1], [0, 0]]"
YgQPSZoc,"[2, 0]","[[1, 0], [1, 0]]"
OO6sGd2i,,
KIMNCNea,"[1, 0]","[[1, 0], [0, 0]]"
C83CJV8q,"[1, 0]","[[0, 0], [1, 0]]"
SrQVA1QB,"[2, 1]",
YNiLH9wd,"[1, 0]","[[0, 0], [1, 0]]"
IPlbm7Sm,"[3, 0]","[[2, 0], [1, 0]]"
phrtOQII,,
WrHbt8Yn,,"[[0, 1], [1, 0], [4, 3]]"
4Y8Bw6I5,"[2, 1]","[[0, 1], [2, 0]]"
b1BPTUls,"[3, 0]","[[1, 0], [2, 0]]"
nNs7BmZC,"[3, 1]","[[1, 1], [2, 0]]"
W8Shjq2B,"[1, 0]","[[0, 0], [1, 0]]"
CvpYPnl6,"[1, 0]","[[0, 0], [1, 0]]"
YD0SZNHU,"[1, 0]","[[1, 0], [0, 0]]"
ETZhZjRJ,"[1, 0]","[[0, 0], [1, 0]]"
2ZeoGBKs,"[0, 1]","[[0, 0], [0, 1]]"
OxtxfR2n,"[0, 0]","[[0, 0], [0, 0]]"
hOlbD940,"[3, 0]","[[1, 0], [2, 0]]"
nRLWHg4b,"[0, 0]","[[0, 0], [0, 0]]"
tlLzHDJ4,"[1, 0]","[[0, 0], [1, 0]]"
EwDmEB3N,"[1, 0]","[[1, 0], [0, 0]]"
vZ5hzSQP,"[2, 0]","[[2, 0], [0, 0]]"
6qjXSqJa,"[2, 1]","[[0, 0], [2, 1]]"
KSmLVoZt,"[0, 3]","[[0, 1], [0, 2]]"
htnTTP3g,"[3, 2]","[[2, 2], [1, 0]]"
l8uxS3Y5,"[5, 0]","[[2, 0], [3, 0]]"
SbvtRNmC,"[1, 0]","[[0, 0], [1, 0]]"
nHSzgKb3,"[1, 3]","[[0, 0], [1, 3]]"
KAzkVG6d,,
YDOWg0qc,,
UuIuhvE9,"[0, 1]","[[0, 0], [0, 1]]"
8WGqibTF,"[0, 0]","[[0, 0], [0, 0]]"
b5oF48s2,"[1, 1]","[[1, 1], [0, 0]]"
jur76UCk,"[2, 2]","[[2, 0], [0, 2]]"
p2sB5lSe,"[1, 0]","[[0, 0], [1, 0]]"
0APcTiK2,"[0, 1]","[[0, 0], [0, 1]]"
2LKI2y63,"[3, 1]","[[1, 0], [2, 1]]"
EavOtfqp,"[0, 1]","[[0, 0], [0, 1]]"
OULE3Hjc,"[2, 0]","[[2, 0], [0, 0]]"
hADVaZkM,"[0, 1]","[[0, 1], [0, 0]]"
bmER0FzG,"[1, 2]","[[0, 1], [1, 1]]"
MoJ6iBc2,"[0, 1]","[[0, 0], [0, 1]]"
W0CZbg5S,"[2, 0]","[[2, 0], [0, 0]]"
htzxjW6b,"[1, 0]","[[0, 0], [1, 0]]"
QgYqlAyB,"[1, 0]","[[1, 0], [0, 0]]"
h4IOtSTp,"[3, 0]","[[2, 0], [1, 0]]"
n3DAZAMH,"[1, 0]","[[0, 0], [1, 0]]"
bssTihxn,"[2, 0]","[[1, 0], [1, 0]]"
n3ZukjM4,"[0, 4]","[[0, 3], [0, 1]]"
MLRhnl6N,"[1, 3]","[[0, 1], [1, 2]]"
t6WXjCih,"[2, 2]","[[2, 0], [0, 2]]"
